Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-2921,Validation fails if FontValidationProcess is not used,Unassigned,Petras,Major,Open,Unresolved,8/7/2015 8:06,8/10/2015 20:50,
Improvement,,PDFBOX-2922,Printing issues with landscape pages,John Hewson,Pei-Tang Huang,Major,Closed,Fixed,8/7/2015 8:36,7/9/2016 11:25,
Bug,,PDFBOX-2923,CFFParser parser treats CIDFont's charset data as SID,Unassigned,Petras,Major,Closed,Fixed,8/7/2015 14:21,1/18/2016 12:01,
Bug,,PDFBOX-2924,ClassCastException when doing PDFSplit,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,8/7/2015 20:01,1/18/2016 12:01,
Bug,,PDFBOX-2925,EmptyStackException in PDFStreamEngine.getColorSpaces,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,8/8/2015 6:17,1/18/2016 12:01,
New Feature,,PDFBOX-2926,Unicode Support in PDFBox 1.8.10,Unassigned,Rakshit Ashtekar,Critical,Closed,Won't Fix,8/10/2015 21:21,8/10/2015 23:07,
Bug,,PDFBOX-2927,Print with PrintRanges printRequestAttribute causing document to be cropped,John Hewson,Pei-Tang Huang,Major,Closed,Unresolved,8/11/2015 8:34,8/14/2015 4:12,
Improvement,,PDFBOX-2928,Add numPages parameter of Book in Printing.printWithPaper example,Andreas Lehmkühler,Pei-Tang Huang,Minor,Closed,Fixed,8/11/2015 9:45,3/17/2016 19:07,
Bug,,PDFBOX-2929,"""Illegal instruction: 4"" with PDFToImage",John Hewson,Tilman Hausherr,Major,Closed,Fixed,8/11/2015 22:41,3/17/2016 19:08,
Bug,,PDFBOX-2930,PDFPageable does not rotate portrait document with 90°/270° rotation well,John Hewson,Pei-Tang Huang,Major,Closed,Fixed,8/12/2015 6:06,3/17/2016 19:07,
Improvement,,PDFBOX-2931,Make PDFPrintable margin-aligning and centering optional,John Hewson,Pei-Tang Huang,Major,Closed,Fixed,8/12/2015 7:59,3/17/2016 19:08,
Bug,,PDFBOX-2932,NPE in PDSignature.getValuesAsString() when field contains no value,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,8/12/2015 10:08,3/17/2016 19:08,
Improvement,,PDFBOX-2933,Drop ant build including .NET build support,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,8/12/2015 16:21,3/17/2016 19:06,
Sub-task,,PDFBOX-2934,PDFBOX-3000 Support smask /S /Alpha,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,8/13/2015 17:28,3/25/2017 18:12,
Bug,,PDFBOX-2935,Problem while extracting font from PDFontSetting (used in PDExtendedGraphicsState),Tilman Hausherr,Timur Kamalov,Major,Closed,Fixed,8/14/2015 11:49,1/18/2016 12:01,
Bug,,PDFBOX-2936,javax.crypto.BadPaddingException: Given final block not properly padded,Tilman Hausherr,Daniel Woelfel,Major,Closed,Fixed,8/15/2015 1:35,4/13/2017 13:48,
Bug,,PDFBOX-2937,Field duplication in PDIndexed color space,Tilman Hausherr,Evgeniy Muravitskiy,Major,Closed,Fixed,8/17/2015 12:00,3/17/2016 19:07,
Task,,PDFBOX-2938,Add 1.8.10 javadocs to pdfbox website,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,8/19/2015 11:56,1/18/2016 12:01,
Bug,,PDFBOX-2939,PDFRenderer.renderImageWithDPI exception with certain PDFs,Tilman Hausherr,Bjoern Krollner,Major,Closed,Fixed,8/20/2015 5:57,3/17/2016 19:07,
Bug,,PDFBOX-2940,ClassCastException in FDF export,Maruan Sahyoun,Laurent Richard,Major,Closed,Fixed,8/20/2015 15:14,1/18/2016 12:01,
Improvement,,PDFBOX-2941,Improve PDFDebugger (2),Unassigned,Tilman Hausherr,Major,Open,Unresolved,8/21/2015 19:00,3/3/2017 21:07,
